State,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022,Year 2023
AK,"1,642","1,646","1,992","1,863","2,128","1,913","1,946","1,784","1,956","1,845","2,016","1,907","1,949","1,949","2,320","2,614"
AL,"5,452","5,387","6,080","6,046","5,558","5,209","4,689","4,561","3,970","3,793","3,434","3,261","3,351","2,556","3,752","3,304"
AR,"3,836","3,255","2,852","2,762","3,424","4,214","3,812","2,936","2,560","2,467","2,712","2,717","2,366","2,139","2,459","2,609"
AS,,,,,,,,,,,,,,,,
AZ,"14,646","12,488","14,721","13,711","10,504","11,302","10,562","10,495","9,896","8,947","9,865","10,007","10,979","5,460","13,553","14,237"
CA,"138,986","136,531","123,678","123,480","125,128","120,098","118,552","113,952","115,738","131,532","129,972","151,278","161,548","57,468","171,521","181,399"
CO,"14,225","14,747","15,268","15,482","15,116","16,768","9,754","10,028","9,953","10,940","10,857","9,619","9,846","8,544","10,397","14,439"
CT,"4,482","4,627","4,605","4,316","4,456","4,209","4,448","4,450","4,047","3,388","3,976","3,033","2,905","2,593","2,930","3,015"
DC,"5,320","6,044","6,228","6,539","6,546","6,954","6,865","7,748","7,298","7,473","6,904","6,521","6,380","5,111","4,410","4,922"
DE,"1,061",933,"1,130",982,"1,035","1,008",946,901,953,994,"1,082",921,"1,165","1,579","2,369","1,245"
FL,"48,069","50,158","55,599","57,551","56,687","55,170","47,862","41,542","35,900","32,190","31,030","28,328","27,487","21,121","25,959","30,756"
GA,"19,639","19,095","20,360","19,836","20,975","20,516","16,971","16,521","13,790","10,174","9,499","10,443","10,234","5,486","10,689","12,294"
GU,725,725,"1,088","1,635","1,745","1,301","1,271","1,356","1,280",852,854,875,790,199,"1,087","1,075"
HI,"6,070","6,061","5,782","5,834","6,188","6,246","6,335","6,918","7,620","7,220","6,530","6,412","6,458","2,490","5,967","6,223"
IA,"2,734","3,346","3,380","3,014","3,134","2,928","3,084","3,122","3,081","2,756","2,749","2,315","2,647","2,534","2,419","2,653"
ID,"1,749","1,464","1,939","2,346","2,199","1,968","1,781","2,104","1,966","2,037","2,012","2,315","2,315","1,889","1,998","2,298"
IL,"15,487","14,724","14,055","14,395","14,009","14,144","13,425","13,107","13,177","10,798","10,643","10,199","10,431","7,958","9,212","11,947"
IN,"7,358","7,395","6,984","6,452","6,196","6,259","6,096","5,971","5,863","5,438","5,258","5,471","5,625","4,975","5,449","6,017"
KS,"2,111","1,738","1,892","2,024","2,511","2,684","2,693","2,783","2,588","2,287","2,216","2,381","2,449","1,803","2,397","2,636"
